Age,Area,CreditAvlb,Firsthand,FloorCount,FloorNumber,Frontage,Fuel,Furniture,MaintenanceFee,Price,Room,Town,Heating_num
4,180,2,1,9,0.0,1,3,0,150,539000,5,7,5
30,115,2,1,3,2.0,1,3,0,45,335000,3,4,5
9,135,2,1,4,1.0,1,3,0,70,255000,4,9,5
6,135,2,1,3,3.0,1,3,0,30,217500,4,4,5
1,150,2,1,15,14.0,1,3,0,0,420000,4,3,5
27,95,2,1,9,5.0,1,3,0,230,253000,4,8,6
15,280,2,1,5,5.0,0,3,0,40,340000,6,7,5
14,210,2,1,9,6.0,1,3,0,200,985000,5,9,5
4,178,2,2,12,5.0,0,3,0,350,650000,5,9,5
0,185,2,2,4,2.0,0,3,0,100,735000,5,9,5
0,55,2,2,5,3.0,1,3,0,100,370000,2,9,7
7,270,2,1,5,5.0,1,3,0,0,375000,6,3,5
0,210,2,2,12,10.0,1,3,0,0,750000,5,6,6
32,156,2,1,6,0.25,0,3,0,150,640000,5,9,5
10,100,2,1,15,0.5,1,3,0,250,485000,3,9,5
0,120,2,2,3,0.5,1,3,0,30,170000,3,3,5
9,230,2,1,4,4.0,1,3,0,60,400000,6,9,5
30,150,2,1,4,2.0,0,3,0,45,315000,4,9,5
25,110,2,1,5,1.0,1,3,0,60,285000,4,8,5
25,125,2,1,5,1.0,0,3,0,0,120000,4,2,5
18,600,2,1,4,0.75,0,3,0,0,4250000,9,9,5
0,150,2,2,3,3.0,1,3,0,0,670000,3,9,5
17,135,2,1,15,1.0,1,3,0,385,495000,4,7,6
0,110,2,2,16,7.0,1,3,0,130,290000,4,4,5
25,110,2,1,3,1.0,1,3,0,0,175000,3,9,5
5,205,2,1,8,1.0,0,3,0,80,345000,4,3,6
17,125,2,1,3,1.0,1,3,0,35,340000,4,9,5
17,135,2,1,3,1.0,1,3,0,50,245000,4,9,5
12,245,2,1,3,3.0,1,3,0,50,365000,6,7,5
25,90,2,1,4,1.0,0,3,0,0,270000,3,8,6
5,105,2,1,13,2.0,1,3,0,0,571500,3,9,7
0,140,2,0,4,4.0,1,3,0,0,850000,4,9,5
45,140,2,1,4,1.0,0,3,0,400,429000,4,9,6
14,300,2,1,4,4.0,1,3,0,0,850000,6,9,5
3,135,2,1,3,1.0,1,3,0,50,248000,4,6,5
5,130,2,1,4,0.5,0,3,0,20,220000,4,6,5
7,80,2,1,14,2.0,1,3,0,600,375000,2,9,6
9,125,2,1,6,1.0,1,3,0,0,160000,4,3,5
0,180,2,2,16,13.0,1,3,0,150,650000,5,8,7
5,85,2,1,4,0.5,1,3,0,90,400000,3,9,5
22,130,2,1,9,2.0,1,3,0,40,219000,4,9,5
28,115,2,1,6,3.0,0,3,0,40,195000,4,8,5
5,105,2,1,3,1.0,0,3,0,0,238000,4,3,5
25,100,2,1,3,1.0,1,3,0,50,220000,4,9,5
